,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
37401,34,238.746979110918,1.0,0.6327346902907882,86.7457056738391,1.0,0.6905544005203139,82.31400403137916,10.0,0.1087947856698037,308.90936522712434,1.0,0.0469196711615482,87.08138028077582,1.0,0.1627278127203365,2.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37401,1972223482.5320845,0,0.0,0.0,3.4468715668335173,0.0
37404,12,111.84693479505788,10.0,0.7775346966507456,60.003024680890704,10.0,0.0854719062947905,240.23646239530015,1.5,0.1424261636950286,163.30422786059546,1.0,0.6736385032837391,108.02444091709508,1.5,0.2126510287429317,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37404,2100817842.3780923,0,0.0,0.0,3.801573580515008,0.0
37407,107,251.20529962772463,10.0,0.2843444034065243,175.73545773519552,10.0,0.3071450189395179,41.36733319251583,10.0,0.0889233613285127,142.3303787874492,1.5,0.9823962402886434,312.55467802531723,1.0,0.0704981719861562,2.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37407,3820464170.9985104,0,0.0,0.0,3.497243872268028,0.0
37409,93,49.28458749319783,1.5,0.7993750886760952,36.98624022955706,1.5,0.820087193758263,106.63328550205848,1.5,0.0171786228767304,219.82263157673745,1.0,0.2523522794750452,135.95217776808516,10.0,0.037835582995328,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37409,2093370244.117911,0,0.0,0.0,3.3775751855160525,0.0
37412,118,59.54292272367414,1.0,0.8732090317501823,347.1597034869922,1.5,0.8562454811959197,241.4510445978985,1.0,0.0957850740303613,293.72252158751246,1.0,0.4341478438553576,346.8275805255451,1.5,0.089173042354533,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37412,2660309048.555064,0,0.0,0.0,3.331154750526065,0.0
37414,44,300.7753707726484,10.0,0.6966873619699652,87.98438633342387,10.0,0.0930187002277721,32.58991191636601,10.0,0.1645822123486638,336.7907514411036,1.0,0.3063524098809881,336.7884482447013,10.0,0.6889441633179577,3.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37414,2643517176.529208,0,0.0,0.0,3.8368032168431614,0.0
37418,2,207.723755668989,1.0,0.9449185888257446,278.17674146154377,1.5,0.8513249543472204,251.19386506689625,10.0,0.1828451333707253,99.78427235498332,1.0,0.8425380647682049,82.65305358841047,1.0,0.9535307975115556,1.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37418,1692159716.8157773,0,0.0,0.0,3.014746690625212,0.0
37425,73,197.64747055633785,1.0,0.9836832951242372,257.9777963967143,1.0,0.9344484934872272,169.8641647486806,10.0,0.1280041497831056,88.68102866688398,1.0,0.1924949967108238,284.8264467525689,1.0,0.4009447317544899,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37425,2404543005.2667823,0,0.0,0.0,3.26722267594354,0.0
37427,108,231.48455117674035,1.0,0.1616960271372163,129.29725120611707,1.5,0.3588190993153899,128.72421956467062,1.0,0.1860808889750124,285.91130850426373,10.0,0.7422679021439667,194.95025301898264,1.0,0.3478325454301691,3.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37427,2734469211.3861256,0,0.0,0.0,1.8762571814308375,0.0
37437,49,291.97484538430683,1.5,0.8901254308688187,41.30340364099206,1.5,0.8256370620817917,79.65972494254208,1.0,0.0430986579536569,257.30293387161186,10.0,0.8187049231505847,310.2851947198686,10.0,0.0251047177022714,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37437,2340334502.615082,0,0.0,0.0,3.4523738876471834,0.0
37444,36,107.54819854976044,10.0,0.7196270546896892,168.7879012057365,10.0,0.5645899730932591,188.3408647409088,10.0,0.071982854731704,220.51651921146623,10.0,0.2592532402335525,184.82443247043045,10.0,0.8867855495936552,3.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37444,1896504343.0826623,0,0.0,0.0,3.2588930322066,0.0
37445,10,260.5020541890666,1.0,0.9282359866970762,33.626059671116366,1.5,0.4474797858510603,301.0283508408692,1.5,0.1370381824537243,218.3500515293052,10.0,0.1484937212568333,227.89813555794015,10.0,0.0022972582647265,3.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37445,2655750109.919943,0,0.0,0.0,3.910803951673274,0.0
37448,12,183.3615735809358,10.0,0.5325976852975347,150.34237905728298,10.0,0.18281950048761,150.32430766293066,10.0,0.0999397365863433,149.53571303167303,1.5,0.8606655053802551,231.93684977605704,1.5,0.2973452411889392,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37448,2374654857.710336,0,0.0,0.0,3.666122414349093,0.0
37453,125,302.704879618696,1.5,0.8891802367122512,127.96064107924762,10.0,0.6188097127684491,247.9769286714,1.5,0.0175198354165928,48.92452298658239,10.0,0.1027006665272073,182.4684109698472,1.5,0.077235794024068,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37453,2458881825.7596,0,0.0,0.0,3.333688277320843,0.0
37471,85,300.4928388692775,10.0,0.3463998728406759,182.4600624066952,1.0,0.5791455623116152,34.49722518573768,1.0,0.1685299692344306,46.3262427655811,1.0,0.0728469695055332,95.3917738150386,10.0,0.7946173841391975,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37471,4872487873.190272,0,0.0,0.0,3.9262258213426313,0.0
37493,13,269.62983846197466,10.0,0.5644895296661054,41.77684152524552,10.0,0.3664866598190177,138.084435223465,1.0,0.1737044337506044,114.0001700796344,10.0,0.3764660066841027,343.6034772020421,1.0,0.7541381768460179,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37493,1974430670.786694,0,0.0,0.0,2.63344869806476,0.0
37494,112,71.24922361984684,10.0,0.1852161011644978,201.3281177366293,1.5,0.1231108335919469,142.27311810064344,10.0,0.0378258524648095,323.01925651493826,1.0,0.3504989859454016,191.09890279860517,1.0,0.5153836806681718,4.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37494,3845425006.9675007,0,0.0,0.0,5.040258746155001,0.0
37499,82,103.17955321187384,10.0,0.8328354727081976,105.95421459538458,1.5,0.6646928293725619,310.83117222317,10.0,0.0027467548692543,165.79458723716394,10.0,0.0441171764194057,232.836529265488,1.0,0.1669630140410193,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37499,2007334902.1927516,0,0.0,0.0,3.30608123915251,0.0
37502,89,132.3945954633092,1.0,0.268013488015989,52.35329739828262,1.5,0.6152082089228064,103.27672245162928,1.5,0.059577411798081,280.8854987843808,1.5,0.0406286736258409,343.7556735029219,10.0,0.4342996234323079,4.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37502,3271763967.3563685,0,0.0,0.0,4.72324786079614,0.0
37511,62,222.4300438664556,1.5,0.2597257839872956,286.979900940392,1.5,0.3392077791290357,71.46816454425138,1.0,0.0790298607236676,163.49517487413578,1.5,0.8890203500745147,58.7860256302572,10.0,0.9790679078118828,3.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37511,2908768534.388118,0,0.0,0.0,3.4781928634116417,0.0
37518,87,271.12631184607324,10.0,0.4171338471731562,33.14519634537172,1.5,0.9524716226658064,137.6435861794002,10.0,0.0320823091075462,141.15794842796487,1.5,0.5439896164785967,30.389516665851104,1.5,0.1511698954885901,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37518,2465583700.7575645,0,0.0,0.0,3.759173079817664,0.0
